mcid,movie_id,company_id,ctype,note
7670,13405,86061,production,
7671,19457,14,production,
7672,19457,376,production,
7673,314385,81,production,
7674,314385,39443,production,
7675,314385,73249,production,
7676,8953,528,production,
7677,8953,3153,production,
7678,8953,11671,production,
7679,29078,2233,production,
7680,29078,2234,production,
7681,29078,2978,production,
7682,29078,4059,production,
7683,29078,23359,production,
7684,46503,308,production,
7685,10448,335,production,
7686,10448,2630,production,
7687,10448,6194,production,
7688,10448,38178,production,
7689,10448,60546,production,
7690,13688,2798,production,
7691,10353,9,production,
7692,10353,5358,production,
7693,10353,16804,production,
7694,10353,18367,production,
7695,43935,1172,production,
7696,43935,7218,production,
7697,43935,7219,production,
7698,44638,14,production,
7699,44638,9195,production,
7700,241257,308,production,
7701,241257,784,production,
7702,241257,4908,production,
7703,241257,5444,production,
7704,241257,7493,production,
7705,241257,29564,production,
7706,14538,2921,production,
7707,14538,3965,production,
7708,13250,152,production,
7709,13250,212,production,
7710,13250,597,production,
7711,13250,4564,production,
7712,13250,8582,production,
7713,13250,11567,production,
7714,13250,11568,production,
7715,13250,11569,production,
7716,133931,564,production,
7717,133931,5113,production,
7718,133931,10884,production,
7719,133931,25032,production,
7720,133931,25033,production,
7721,133931,25034,production,
7722,133931,33805,production,
7723,280871,82667,production,
7724,184341,7289,production,
7725,184341,52064,production,
7726,184341,52065,production,
7727,184341,52066,production,
7728,334074,925,production,
7729,334074,8880,production,
7730,334074,10254,production,
7731,334074,54409,production,
7732,199373,3604,production,
7733,199373,5830,production,
7734,199373,6715,production,
7735,199373,6819,production,
7736,199373,10405,production,
7737,199373,27993,production,
7738,199373,30023,production,
7739,199373,31832,production,
7740,199373,31833,production,
7741,14202,741,production,
7742,14202,1557,production,
7743,14202,2297,production,
7744,14202,2448,production,
7745,14202,7999,production,
7746,14202,11027,production,
7747,14202,12259,production,
7748,14202,12260,production,
7749,14202,12261,production,
7750,14202,12262,production,
7751,6968,753,production,
7752,6968,986,production,
7753,6968,5755,production,
7754,6968,7025,production,
7755,6968,7201,production,
7756,6968,7333,production,
7757,6968,19477,production,
7758,6968,73872,production,
7759,581,335,production,
7760,581,2630,production,
7761,52449,5,production,
7762,52449,748,production,
7763,12150,42,production,
7764,11247,5367,production,
7765,11247,6194,production,
7766,11247,8807,production,
7767,11247,46051,production,
7768,4232,979,production,
7769,4232,7405,production,
7770,9378,441,production,
7771,9378,1786,production,
7772,9378,6194,production,
7773,9378,23503,production,
7774,694,88,production,
7775,694,6194,production,
7776,694,11272,production,
7777,105,33,production,
7778,105,56,production,
7779,105,20448,production,
7780,11377,1786,production,
7781,11377,6194,production,
7782,26367,35,production,
7783,385383,74413,production,
7784,41210,771,production,
7785,41210,2570,production,
7786,41210,7382,production,
7787,12090,306,production,
7788,12090,3929,production,
7789,12090,19352,production,
7790,62630,7178,production,
7791,62630,7299,production,
7792,62630,7300,production,
7793,16110,769,production,
7794,16110,2268,production,
7795,16110,37618,production,
7796,29427,4916,production,
7797,29427,6735,production,
7798,29427,6736,production,
7799,29427,12807,production,
7800,129,10342,production,
7801,244114,1268,production,
7802,244114,5686,production,
7803,244114,10284,production,
7804,2669,10308,production,
7805,203833,264,production,
7806,203833,711,production,
7807,203833,5219,production,
7808,13523,3250,production,
7809,13523,10067,production,
7810,13523,11843,production,
7811,25195,33,production,
7812,25195,158,production,
7813,25195,1266,production,
7814,25195,6363,production,
7815,25195,58262,production,
7816,17277,4,production,
7817,17277,10253,production,
7818,50725,23,production,
7819,50725,134,production,
7820,50725,7295,production,
7821,50725,19855,production,
7822,82631,2605,production,
7823,82631,10221,production,
7824,82631,59391,production,
7825,73191,3592,production,
7826,22479,8,production,
7827,22479,7832,production,
7828,22479,37163,production,
7829,340611,1785,production,
7830,10065,2481,production,
7831,10065,7405,production,
7832,10065,8411,production,
7833,10065,14718,production,
7834,2757,267,production,
7835,2757,278,production,
7836,2757,1274,production,
7837,2757,8856,production,
7838,2757,10565,production,
7839,2757,23227,production,
7840,11683,33,production,
7841,11683,2995,production,
7842,11683,55518,production,
7843,11683,55519,production,
7844,244339,20542,production,
7845,244339,20543,production,
7846,1878,33,production,
7847,1878,491,production,
7848,1878,1591,production,
7849,1878,53460,production,
7850,1878,53461,production,
7851,23082,2531,production,
7852,23082,2723,production,
7853,23082,6194,production,
7854,23082,11845,production,
7855,23082,13769,production,
7856,23082,14358,production,
7857,23082,14718,production,
7858,195589,33,production,
7859,195589,16615,production,
7860,195589,17393,production,
7861,854,12,production,
7862,854,552,production,
7863,2280,18,production,
7864,2280,306,production,
7865,2280,21451,production,
7866,496,306,production,
7867,496,20567,production,
7868,8835,2527,production,
7869,8835,8411,production,
7870,157,4,production,
7871,8643,126,production,
