movie_id,title,release
11592,Serial Mom,1994
11667,Street Fighter,1994
11702,The Replacement Killers,1998
11780,Rob Roy,1995
11827,Heavy Metal,1981
11831,Amistad,1997
11858,Renaissance Man,1994
11863,Jade,1995
11934,The Hudsucker Proxy,1994
11967,Young Guns,1988
11969,Tombstone,1993
11971,Much Ado About Nothing,1993
11975,The Rainmaker,1997
11980,The Prophecy,1995
12123,Chain Reaction,1996
12158,Vampire In Brooklyn,1995
12160,Wyatt Earp,1994
12498,Sling Blade,1996
13685,Bottle Rocket,1996
13982,8 Heads In A Duffel Bag,1997
14275,Hoop Dreams,1994
14585,In The Company Of Men,1997
15121,The Sound Of Music,1965
15765,What'S Love Got To Do With It,1993
16052,Selena,1997
16388,The Brothers Mcmullen,1995
16633,Somewhere In Time,1980
17127,The Object Of My Affection,1998
17182,Eye For An Eye,1996
17795,My Fellow Americans,1996
17834,A Simple Wish,1997
18550,Fled,1996
18975,The Adventures Of Pinocchio,1996
20156,Exotica,1994
20737,Air Bud,1997
21612,The Funeral,1996
22479,Kansas City,1996
22649,A Farewell To Arms,1932
23570,The Pallbearer,1996
24662,Cats Don'T Dance,1997
24913,April Fool'S Day,1986
25066,Tales From The Hood,1995
25189,The Mirror Has Two Faces,1996
26306,Prefontaine,1997
26352,A Low Down Dirty Shame,1994
26748,Lone Star,1996
27322,Love Jones,1997
28121,A Thin Line Between Love And Hate,1996
29461,Soul Food,1997
31535,Chairman Of The Board,1998
31908,Ghosts Of Mississippi,1996
34152,Crooklyn,1994
34314,Turbulence,1997
34941,The Last Time I Committed Suicide,1997
36355,Flipper,1996
36955,True Lies,1994
37165,The Truman Show,1998
37233,The Firm,1993
38223,Harriet The Spy,1996
42807,The Newton Boys,1998
47502,Faithful,1996
47889,Ruby In Paradise,1993
49471,Get On The Bus,1996
49478,Warriors Of Virtue,1997
49963,Walking And Talking,1996
55306,Ulee'S Gold,1997
61337,Critical Care,1997
61752,Girl 6,1996
63020,The Perez Family,1995
68924,The Ice Storm,1997
87729,Jefferson In Paris,1995
19995,Avatar,2009
285,Pirates of the Caribbean: At World's End,2007
206647,Spectre,2015
49026,The Dark Knight Rises,2012
49529,John Carter,2012
559,Spider-Man 3,2007
38757,Tangled,2010
99861,Avengers: Age of Ultron,2015
767,Harry Potter and the Half-Blood Prince,2009
209112,Batman v Superman: Dawn of Justice,2016
1452,Superman Returns,2006
10764,Quantum of Solace,2008
58,Pirates of the Caribbean: Dead Man's Chest,2006
57201,The Lone Ranger,2013
49521,Man of Steel,2013
2454,The Chronicles of Narnia: Prince Caspian,2008
24428,The Avengers,2012
1865,Pirates of the Caribbean: On Stranger Tides,2011
41154,Men in Black 3,2012
122917,The Hobbit: The Battle of the Five Armies,2014
1930,The Amazing Spider-Man,2012
20662,Robin Hood,2010
57158,The Hobbit: The Desolation of Smaug,2013
2268,The Golden Compass,2007
254,King Kong,2005
597,Titanic,1997
271110,Captain America: Civil War,2016
44833,Battleship,2012
135397,Jurassic World,2015
37724,Skyfall,2012
558,Spider-Man 2,2004
68721,Iron Man 3,2013
12155,Alice in Wonderland,2010
36668,X-Men: The Last Stand,2006
62211,Monsters University,2013
8373,Transformers: Revenge of the Fallen,2009
91314,Transformers: Age of Extinction,2014
68728,Oz: The Great and Powerful,2013
102382,The Amazing Spider-Man 2,2014
20526,TRON: Legacy,2010
49013,Cars 2,2011
44912,Green Lantern,2011
10193,Toy Story 3,2010
534,Terminator Salvation,2009
168259,Furious 7,2015
72190,World War Z,2013
127585,X-Men: Days of Future Past,2014
54138,Star Trek Into Darkness,2013
81005,Jack the Giant Slayer,2013
64682,The Great Gatsby,2013
9543,Prince of Persia: The Sands of Time,2010
68726,Pacific Rim,2013
38356,Transformers: Dark of the Moon,2011
217,Indiana Jones and the Kingdom of the Crystal Skull,2008
105864,The Good Dinosaur,2015
62177,Brave,2012
188927,Star Trek Beyond,2016
10681,WALL·E,2008
5174,Rush Hour 3,2007
14161,2012,2009
17979,A Christmas Carol,2009
76757,Jupiter Ascending,2015
258489,The Legend of Tarzan,2016
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
246655,X-Men: Apocalypse,2016
155,The Dark Knight,2008
14160,Up,2009
15512,Monsters vs Aliens,2009
1726,Iron Man,2008
44826,Hugo,2011
8487,Wild Wild West,1999
1735,The Mummy: Tomb of the Dragon Emperor,2008
297761,Suicide Squad,2016
2698,Evan Almighty,2007
137113,Edge of Tomorrow,2014
9804,Waterworld,1995
14869,G.I. Joe: The Rise of Cobra,2009
150540,Inside Out,2015
278927,The Jungle Book,2016
10138,Iron Man 2,2010
58595,Snow White and the Huntsman,2012
102651,Maleficent,2014
119450,Dawn of the Planet of the Apes,2014
79698,The Lovers,2015
64686,47 Ronin,2013
100402,Captain America: The Winter Soldier,2014
10192,Shrek Forever After,2010
158852,Tomorrowland,2015
177572,Big Hero 6,2014
82690,Wreck-It Ralph,2012
5255,The Polar Express,2004
47933,Independence Day: Resurgence,2016
10191,How to Train Your Dragon,2010
296,Terminator 3: Rise of the Machines,2003
118340,Guardians of the Galaxy,2014
157336,Interstellar,2014
27205,Inception,2010
315011,Shin Godzilla,2016
49051,The Hobbit: An Unexpected Journey,2012
9799,The Fast and the Furious,2001
4922,The Curious Case of Benjamin Button,2008
49538,X-Men: First Class,2011
131634,The Hunger Games: Mockingjay - Part 2,2015
27022,The Sorcerer's Apprentice,2010
503,Poseidon,2006
241259,Alice Through the Looking Glass,2016
810,Shrek the Third,2007
68735,Warcraft,2016
87101,Terminator Genisys,2015
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010
676,Pearl Harbor,2001
1858,Transformers,2007
1966,Alexander,2004
675,Harry Potter and the Order of the Phoenix,2007
674,Harry Potter and the Goblet of Fire,2005
8960,Hancock,2008
6479,I Am Legend,2007
118,Charlie and the Chocolate Factory,2005
2062,Ratatouille,2007
272,Batman Begins,2005
10527,Madagascar: Escape 2 Africa,2008
18360,Night at the Museum: Battle of the Smithsonian,2009
2080,X-Men Origins: Wolverine,2009
605,The Matrix Revolutions,2003
109445,Frozen,2013
604,The Matrix Reloaded,2003
76338,Thor: The Dark World,2013
76341,Mad Max: Fury Road,2015
13448,Angels & Demons,2009
10195,Thor,2011
13053,Bolt,2008
19585,G-Force,2009
57165,Wrath of the Titans,2012
62213,Dark Shadows,2012
177677,Mission: Impossible - Rogue Nation,2015
7978,The Wolfman,2010
5559,Bee Movie,2007
49444,Kung Fu Panda 2,2011
10196,The Last Airbender,2010
956,Mission: Impossible III,2006
117251,White House Down,2013
50321,Mars Needs Moms,2011
11619,Flushed Away,2006
266647,Pan,2015
82703,Mr. Peabody & Sherman,2014
652,Troy,2004
80321,Madagascar 3: Europe's Most Wanted,2012
36669,Die Another Day,2002
43074,Ghostbusters,2016
95,Armageddon,1998
608,Men in Black II,2002
2310,Beowulf,2007
140300,Kung Fu Panda 3,2016
56292,Mission: Impossible - Ghost Protocol,2011
81188,Rise of the Guardians,2012
7552,Fun with Dick and Jane,2005
616,The Last Samurai,2003
147441,Exodus: Gods and Kings,2014
13475,Star Trek,2009
557,Spider-Man,2002
82702,How to Train Your Dragon 2,2014
205584,Gods of Egypt,2016
10048,Stealth,2005
13183,Watchmen,2009
944,Lethal Weapon 4,1998
1927,Hulk,2003
72559,G.I. Joe: Retaliation,2013
