cast_id,cast_name,cast_gender
1691940,Tiffany Bedwell,1
1691945,Natalee Arteaga,1
1691946,Keith D. Gallagher,2
1691967,Jeff Dumas,2
1682540,Miriam Lee,1
1691970,Alicia Regan,1
1395056,Stephanie Koenig,1
1648751,Ripley Sobo,1
1691971,Richard Burden,2
156405,Julius Tennon,2
134774,Wunmi Mosaku,0
1561391,Dennis North,2
1141368,Kiff VandenHeuvel,0
1561419,Mason Heidger,2
74312,Ahney Her,1
1691981,Kristine Cabanban,1
53066,Sebastian Sozzi,2
79086,Kent Shocknek,2
1494289,Ralph Lister,2
1691982,Sammy A. Publes,2
1691983,Jay R. Adams,2
1691986,David Midura,2
1691987,Jay Towers,2
1395050,Michael Ellison,0
1692027,Kirill Ostapenko,2
1692036,Rashontae Wawrzyniak,1
1214961,Tom Luginbill,2
1692048,Dave Pasch,2
146413,Danny Mooney,2
1692050,Henry Frost III,2
165293,Nicole Forester,1
1695971,Debbie Stabenow,1
146412,Milica Govich,0
1695987,John Lepard,2
1695988,Sandra Love Aldridge,1
1695990,Graham W.J. Beal,2
1695991,Henri Franklin,2
1289444,Jonathan West,2
1695992,T.J. Martinelli,2
1561416,Chris Newman,2
1696013,Lulu Dahl,1
1201979,Sam Logan Khaleghi,2
1696018,Anne Marie Damman,1
1452211,Connie Craig,0
1696019,Henrietta Hermelin,1
1334323,Albert Valladares,2
1685460,David Paris,2
1696038,Abigail Kuklis,1
1545503,Greg Violand,0
1007391,Tiren Jhames,2
1505007,Steve Jasgur,2
1696221,Jonathan Stanley,2
1390506,Jesse Nagy,2
1696222,Duvale Murchison,2
1696223,Thomas J. Fentress,2
1189226,Coburn Goss,0
1696226,Jeff Hanlin,0
1077782,Gary A. Hecker,2
130081,Robin Atkin Downes,2
1696230,Issac Ryan Brown,2
1374130,Barton Bund,2
104195,Bailey Chase,2
1696231,Patrick O'Connor Cronin,2
1000800,Sonja Crosby,1
1696234,C.T. Fletcher,2
1696241,Ahman Green,2
1548735,Diana Gaitirira,0
1147413,Jalene Mack,1
1424325,Esodie Geiger,1
1696264,Nene Nwoko,1
1696251,Scott Edward Logan,2
1696236,Marcus Goddard,2
1696238,Cruz Gonzalez-Cadel,1
162169,Alma Martinez,1
8666,Sal Lopez,0
1696268,Marcel Shihadeh,0
1696262,Theo Bongani Ndyalvane,2
1393349,Satori Shakoor,1
76674,Ele Bardha,2
639817,Inder Kumar,2
1561376,Brandon Bautista,0
1188194,Laura Atwood,1
1636801,Debbie Scaletta,1
1645569,David Leach,2
74595,Gordon Michaels,2
87220,Brian Boland,2
204261,Taras Los,0
1019098,Jason Hughley,0
1062375,Sidi Henderson,2
1031686,Meighan Gerachis,0
1574911,Nicole Santini,0
1597947,Axel Harney,2
1675748,Wayne E. Brown,2
1729054,Dante Briggins,2
1729055,Shannon Garnett,2
87443,Lynch R. Travis,0
1594986,Carmen Gangale,2
1283943,Joe Cipriano,0
99166,Will Blagrove,0
1892479,Marcelo Bem,0
17271,Brandon Routh,2
1979,Kevin Spacey,2
7517,Kate Bosworth,1
11006,James Marsden,2
7489,Parker Posey,1
8924,Frank Langella,2
53492,Sam Huntington,0
2639,Eva Marie Saint,1
3084,Marlon Brando,2
53493,Kal Penn,2
53494,Tristan Lake Leabu,2
41318,David Fabrizio,2
1224391,Ian Roberts,0
1272955,Vincent Stone,0
193763,Jack Larson,2
243805,Noel Neill,1
1252837,Keegan Joyce,2
971458,Jordana Beatty,1
18182,Olga Kurylenko,1
8789,Mathieu Amalric,2
3753,Giancarlo Giannini,2
59620,Gemma Arterton,1
2954,Jeffrey Wright,2
35029,David Harbour,2
62892,Anatole Taubman,2
11276,Tim Pigott-Smith,2
76857,Joaquu00edn Cosio,2
574355,Glenn Foster,0
34408,Stana Katic,1
136290,Lucrezia Lante della Rovere,1
20289,Neil Jackson,2
566331,Oona Chaplin,1
127000,Rachel McDowall,1
574361,Gustavo Nanez,0
205222,Mark Wakeling,0
62961,Sarah Hadland,0
193339,David Decio,0
424182,Aaron King,0
574364,Alexandra Prusa,0
574365,Brandon Jovanovich,0
574367,Alexandre Krawetz,0
149307,Fernando Guillu00e9n Cuervo,2
69865,Jesu00fas Ochoa,2
1234388,Simon Kassianides,0
1529894,Brendan O'Hea,0
85,Johnny Depp,2
53807,Armie Hammer,2
886,William Fichtner,2
18473,James Badge Dale,2
207,Tom Wilkinson,2
47720,Ruth Wilson,1
12834,Barry Pepper,2
22063,James Frain,2
583040,Mason Cook,2
71467,Matt O'Leary,2
15374,Leon Rippy,2
45051,Harry Treadaway,2
62752,Damon Herriman,2
6951,W. Earl Brown,2
84225,Gil Birmingham,2
126829,Saginaw Grant,0
1736738,Stephen Brodie,2
1094319,Matthew Page,2
1382010,Bryant Prince,0
1184011,JD Cullum,2
92949,Timothy V. Murphy,2
1471922,Damon Carney,0
1240490,Kevin Wiggins,2
208061,Chad Brummett,2
21723,Robert Baker,2
37027,Lew Temple,2
17401,Stephen Root,2
102567,Randy Oglesby,2
56267,Brad Greenquist,2
22250,Rance Howard,2
59847,Leonard Earl Howze,0
128560,Travis Hammer,2
1452636,Steve Corona,0
134171,Jack Axelrod,0
1112414,Christopher Hagen,0
51754,Freda Foh Shen,1
114977,Margaret Bowman,1
1760466,Luz P. Mendez,0
1760467,Laina Loucks,0
1760468,Devon J. Adams,0
1760469,Desirae Anslover,0
1760470,Charlotte Cormier,0
1459004,Megan Pribyl,0
1760471,Briana Van Schuyver,0
1760472,Julie Stracener,0
1391129,Chad Randall,2
1333907,Jason E. Hill,2
967071,Beth Bailey,1
1178981,Joanne Camp,1
104915,Bob Rumnock,2
1105706,Tait Fletcher,0
307885,Alex Knight,0
569548,Argos MacCallum,2
1759932,Pokey Lafarge,2
1760474,Joey Glynn,0
1760475,Adam Hoskins,0
1760476,Ryan Koenig,0
934,Russell Crowe,2
43202,Antje Traue,1
22227,Christopher Meloni,2
213049,Jadin Gould,1
77223,Tahmoh Penikett,2
8786,Ayelet Zurer,1
31028,Richard Schiff,2
236302,Dylan Sprayberry,2
50217,Michael Kelly,2
12371,Richard Cetrone,2
37698,Mackenzie Gray,2
2320,Julian Richings,2
11831,Mary Black,1
1272968,Samantha Jo,1
4095,David Lewis,2
27138,Doug Abrahams,2
172809,Brad Kelly,0
59312,Alessandro Juliani,2
1272971,Jack Foley,0
1025970,Robert Gerdisch,2
1371141,Jacqueline Scislowski,0
1235591,Sean Campbell,2
1615574,Raj Lal,2
25130,Ben Barnes,2
5528,William Moseley,2
