movie_id,title,release,vote_average,vote_count
49538,X-Men: First Class,2011,7.1,5181
131634,The Hunger Games: Mockingjay - Part 2,2015,6.6,3984
27022,The Sorcerer's Apprentice,2010,5.8,1470
503,Poseidon,2006,5.5,583
241259,Alice Through the Looking Glass,2016,6.5,1725
810,Shrek the Third,2007,6,2278
68735,Warcraft,2016,6.3,2268
87101,Terminator Genisys,2015,5.8,3631
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.2,1514
676,Pearl Harbor,2001,6.6,1791
1966,Alexander,2004,5.6,927
675,Harry Potter and the Order of the Phoenix,2007,7.4,5494
8960,Hancock,2008,6.2,2961
6479,I Am Legend,2007,6.9,4853
118,Charlie and the Chocolate Factory,2005,6.7,3624
2062,Ratatouille,2007,7.5,4369
272,Batman Begins,2005,7.5,7359
10527,Madagascar: Escape 2 Africa,2008,6.2,1810
18360,Night at the Museum: Battle of the Smithsonian,2009,5.9,1971
2080,X-Men Origins: Wolverine,2009,6.2,4021
109445,Frozen,2013,7.3,5295
76338,Thor: The Dark World,2013,6.8,4755
76341,Mad Max: Fury Road,2015,7.2,9427
13448,Angels & Demons,2009,6.5,2129
10195,Thor,2011,6.6,6525
13053,Bolt,2008,6.3,1750
19585,G-Force,2009,5.1,510
57165,Wrath of the Titans,2012,5.5,1431
62213,Dark Shadows,2012,5.7,2320
177677,Mission: Impossible - Rogue Nation,2015,7.1,3224
7978,The Wolfman,2010,5.5,549
5559,Bee Movie,2007,5.7,1171
49444,Kung Fu Panda 2,2011,6.7,1880
10196,The Last Airbender,2010,4.7,1151
956,Mission: Impossible III,2006,6.5,2028
117251,White House Down,2013,6.4,1891
50321,Mars Needs Moms,2011,5.5,199
11619,Flushed Away,2006,6,874
266647,Pan,2015,5.9,954
82703,Mr. Peabody & Sherman,2014,6.7,843
652,Troy,2004,6.9,2759
80321,Madagascar 3: Europe's Most Wanted,2012,6.4,1808
36669,Die Another Day,2002,5.8,1092
43074,Ghostbusters,2016,5.3,2142
95,Armageddon,1998,6.4,2482
608,Men in Black II,2002,6,3114
2310,Beowulf,2007,5.5,841
140300,Kung Fu Panda 3,2016,6.7,1603
56292,Mission: Impossible - Ghost Protocol,2011,6.8,3972
81188,Rise of the Guardians,2012,7.1,1922
7552,Fun with Dick and Jane,2005,5.9,627
616,The Last Samurai,2003,7.3,1895
147441,Exodus: Gods and Kings,2014,5.6,1921
13475,Star Trek,2009,7.4,4518
557,Spider-Man,2002,6.8,5265
82702,How to Train Your Dragon 2,2014,7.6,3106
205584,Gods of Egypt,2016,5.3,1277
10048,Stealth,2005,4.9,331
13183,Watchmen,2009,7,2811
