company_id,name,country,imdb_id,name_nf,name_sf,md5
76067,Kontsept Film Company,,76067,KONTSEPT FILM COMPANY,K532,cf1d7a725bb53515b7d3f5a32201cfbe
2609,De Line Pictures,,2609,DE LINE PICTURES,D451,b5c504e5608a1c8e0f514a43c3be5f1f
4021,The Halcyon Company,,4021,THE HALCYON COMPANY,T425,20f5faca861460b0301b983bf262fff2
4022,Wonderland Sound and Vision,,4022,WONDERLAND SOUND AND VISION,W536,81e7af4aee9ca9d1aeba0f9fb4815507
333,Original Film,,333,ORIGINAL FILM,O625,a64ef4138c21de1fe262142606f37824
7154,One Race Films,,7154,ONE RACE FILMS,O562,9ab251e16a7bb252d4069803934794c4
40890,China Film Co.,,40890,CHINA FILM CO.,C514,6529de10ad73c0045bc75f4e5b69511a
86352,Quu00e9bec Production Services Tax Credit,,86352,QUU00E9BEC PRODUCTION SERVICES TAX CREDIT,Q121,c43557d5ee028468470b61bd5e1310ae
86655,Media Rights Capital (MRC),,86655,MEDIA RIGHTS CAPITAL (MRC),M362,42785d51d0d1c5de4f81ac4270ae2cae
87857,Abu Dhabi Film Commission,,87857,ABU DHABI FILM COMMISSION,A131,48254ac96220b74e318447a5ba9dbb6b
87858,"Colorado Office of Film, Television & Media",,87858,"COLORADO OFFICE OF FILM, TELEVISION & MEDIA",C463,161f303fcc897f3dde277445dd3db851
3281,GK Films,,3281,GK FILMS,G145,1a2ce9aea094647b22a9866ea7ac3501
6277,Skydance Productions,,6277,SKYDANCE PRODUCTIONS,S352,b2d3ad9c737bada91de5ceafeed69bd0
11956,Apparatus Productions,,11956,APPARATUS PRODUCTIONS,A163,1047b72d12a9ccbbb0a99cb03d681dfd
19108,Latina Pictures,,19108,LATINA PICTURES,L351,dff39d6084e2457e065defc163201476
23644,2DUXu00b2,,23644,2DUXU00B2,D210,1042674f6ed2856bd5f7f3d274a8b999
22213,TSG Entertainment,,22213,TSG ENTERTAINMENT,T253,509a3244d8d707e20df74f49291a916e
37336,Down Productions,,37336,DOWN PRODUCTIONS,D516,f851692a203bddc358ed73e86d94051d
11461,Bad Robot,,11461,BAD ROBOT,B361,fccf9cff8865d27db17644a5fca627d3
12536,Kurtzman/Orci,,12536,KURTZMAN/ORCI,K632,1f2f1abcf362c6617ecc72f36fd9e496
8406,Big Kid Pictures,,8406,BIG KID PICTURES,B231,c40ed7a70950a6e9585c921dc38458f4
79,Village Roadshow Pictures,,79,VILLAGE ROADSHOW PICTURES,V426,f653f5b0a218c5a0c0590792917cf8e7
240,Bazmark Films,,240,BAZMARK FILMS,B256,3c5686e940e522f8657a0cf2587a86a9
11858,A&E Television Networks,,11858,A&E TELEVISION NETWORKS,A341,48f46f562775acaa040d2766bc3d3306
14440,Red Wagon Entertainment,,14440,RED WAGON ENTERTAINMENT,R325,b1583522720ae7a77b309f082504a003
14604,Spectrum Films,,14604,SPECTRUM FILMS,S123,68d3775cb37a7a05378ec20ea8c92c2a
19750,Disney Double Dare You (DDY),,19750,DISNEY DOUBLE DARE YOU (DDY),D253,ee9fd07d07bf25b5f50e7bb5d56982ff
19751,Indochina Productions,,19751,INDOCHINA PRODUCTIONS,I532,b6f9943995e3f69a55b7b7e2240c3c6b
1,Lucasfilm,,1,LUCASFILM,L221,e9385eb68e466fcaa148c9fa7916330c
34530,Perfect Storm Entertainment,,34530,PERFECT STORM ENTERTAINMENT,P612,8ae6a7e424234d020865474c5eb0cb24
69484,Alibaba Pictures Group,,69484,ALIBABA PICTURES GROUP,A411,4b1629bdcc5754b050ca5dd171908d30
82819,Skydance Media,,82819,SKYDANCE MEDIA,S352,97d0dc39abbbbe1aeba5a2c43170f755
83644,Sneaky Shark,,83644,SNEAKY SHARK,S522,95d16fc493e8dd1d0dffccb602efba36
83645,Huahua Media,,83645,HUAHUA MEDIA,H530,7d3637d0271ee62439520f3d601e4396
93408,FortyFour Studios,,93408,FORTYFOUR STUDIOS,F631,83b93270251bec6c9dde0c3d59bb3674
347,Centropolis Entertainment,,347,CENTROPOLIS ENTERTAINMENT,C536,265c53fd014fe8fe45a73fa42f2cc653
1557,The Mark Gordon Company,,1557,THE MARK GORDON COMPANY,T562,75df99776a12c690b7d8e47191c4116a
10905,Farewell Productions,,10905,FAREWELL PRODUCTIONS,F641,b55173caa067d46554f6ee812b8dd973
11395,ImageMovers,,11395,IMAGEMOVERS,I525,5bd1e9eccc4166f694b083218d16d77f
450,Anarchos Productions,,450,ANARCHOS PRODUCTIONS,A562,8b3d4e219095821fdb0fdd1b366753e9
552,Dark Horse Entertainment,,552,DARK HORSE ENTERTAINMENT,D626,3fbfb3921ff451aa694b6f5e1c212c97
2596,Jerry Weintraub Productions,,2596,JERRY WEINTRAUB PRODUCTIONS,J653,6ae09a3fc5de2fef651e01c189d10c5c
46339,Beagle Pug Films,,46339,BEAGLE PUG FILMS,B241,bea69cccbe50159919f7cbec1d95acfb
86565,Riche Productions,,86565,RICHE PRODUCTIONS,R216,544b8cb61a7e700ec50b8a49d2451c31
86566,Village Roadshow Films North America,,86566,VILLAGE ROADSHOW FILMS NORTH AMERICA,V426,789f115dde0ee26cca7aaa499150e51b
78091,Kinberg Genre,,78091,KINBERG GENRE,K516,6b6ca5c0a50adb7ebd030a9b4a6ca427
521,DreamWorks Animation,,521,DREAMWORKS ANIMATION,D656,9755ac3d53e01635c28094c42079d334
2507,"Todman, Simon, LeMasters Productions",,2507,"TODMAN, SIMON, LEMASTERS PRODUCTIONS",T355,a68da07b219281fdee398246f9e139f1
16774,Peters Entertainment,,16774,PETERS ENTERTAINMENT,P362,4f6a98fb767742c904ac97e960bed55f
57088,Sonnenfeld Josephson Worldwide Entertainment,,57088,SONNENFELD JOSEPHSON WORLDWIDE ENTERTAINMENT,S551,00abfdd5ba418dc2e9af9f35a8ae7d05
2269,China Film Co-Production Corporation,,2269,CHINA FILM CO-PRODUCTION CORPORATION,C514,4b1735386b672c84fdd2dfd4a99aa007
11462,Alphaville Films,,11462,ALPHAVILLE FILMS,A411,76387ba388c72b84c3e467a1dc6ff951
19643,"Sommers Company, The",,19643,"SOMMERS COMPANY, THE",S562,ba85ec6bcb2a8e0b05e031a92ec2e198
158,Spyglass Entertainment,,158,SPYGLASS ENTERTAINMENT,S124,ba97d2ec5d9bb0ee339993f48fb8f6d5
159,Shady Acres Entertainment,,159,SHADY ACRES ENTERTAINMENT,S326,02b5808bef0537652d742ea93af05be6
4171,Playtone,,4171,PLAYTONE,P435,6163edab0b2c7f7936281967e9178306
6687,Viz Media,,6687,VIZ MEDIA,V253,54e0851de040938306dc717e258c03ca
12200,Province of British Columbia Production Services Tax Credit,,12200,PROVINCE OF BRITISH COLUMBIA PRODUCTION SERVICES TAX CREDIT,P615,32cdb0558f6f3980df7346be0997a064
36390,3 Arts Entertainment,,36390,3 ARTS ENTERTAINMENT,A632,7f216a629c36af6391f39632b53c643e
1073,Gordon Company,,1073,GORDON COMPANY,G635,e5f7a132ca347aeb49c5bb7f64d29ee1
1302,Davis Entertainment,,1302,DAVIS ENTERTAINMENT,D125,f19785d841f077ed0dae4d2f6696260d
6092,Licht/Mueller Film Corporation,,6092,LICHT/MUELLER FILM CORPORATION,L235,bea698de6e4859cba98c787af1dddcbc
7297,Fairview Entertainment,,7297,FAIRVIEW ENTERTAINMENT,F615,cd3c9c2779f268b8029759018046701b
290,Ingenious Media,,290,INGENIOUS MEDIA,I525,096f2f0afac72ff1a8438431a7c75378
7076,Chernin Entertainment,,7076,CHERNIN ENTERTAINMENT,C655,a2fc01d59a907fcfa1bf71df48364f87
7299,Corsan,,7299,CORSAN,C625,dd7c752c3e0c495a97194d532522df13
8186,Bliss Media,,8186,BLISS MEDIA,B425,2f28955752a183b85f990d751603209c
8187,Limelight International Media Entertainment,,8187,LIMELIGHT INTERNATIONAL MEDIA ENTERTAINMENT,L542,6272a3b3bbd78f6f010437b7a5d35235
8188,Neelmudra Entertainment,,8188,NEELMUDRA ENTERTAINMENT,N453,82642161ab8763d2e9f0f9613ae6b60d
76098,Aristos Films,,76098,ARISTOS FILMS,A623,9324c6489f0cf0b42cf616e6910dc3f8
76099,Singularity Productions,,76099,SINGULARITY PRODUCTIONS,S524,aeff6a2771c4a2564ded7862146c266e
76100,Wildkite,,76100,WILDKITE,W432,0f218ac4c4ac1e57de897af9d6296cd6
2735,Mid Atlantic Films,,2735,MID ATLANTIC FILMS,M334,d75a4642c6971771c7734662478d2fb8
4403,Stuber Productions,,4403,STUBER PRODUCTIONS,S316,c393ca8a4d0892691a29dfb39e215ca6
6292,Universal,,6292,UNIVERSAL,U516,7641e5f4e7e8517bd0477fd81e3de1b8
20851,H2F Entertainment,,20851,H2F ENTERTAINMENT,H153,1f4fa960f6ca9e4d47310df0ebeda453
20656,Babieka,,20656,BABIEKA,B120,fc012dceca8568f16e8857a908053c45
59778,A113,,59778,A113,A000,787ddd1165f14e4d1a2abee83b7d2f78
1867,Golden Mean,,1867,GOLDEN MEAN,G435,c60c1bae60adac8c14c60308a69ece21
86561,Stereo D,,86561,STEREO D,S363,6ad25dea6aa1494fcd8a306533f4d201
829,Vertigo Entertainment,,829,VERTIGO ENTERTAINMENT,V632,4a032a1ecaefcb290c0a59f220016d31
20154,Mad Hatter Entertainment,,20154,MAD HATTER ENTERTAINMENT,M336,5b84450f1b7b4928fa0093fa97aff49d
763,Intermedia Films,,763,INTERMEDIA FILMS,I536,105f155edff67718fc0d564755106780
7340,C-2 Pictures,,7340,C-2 PICTURES,C123,c71f67bc9a29c4cbdc0433fff61d3cf9
