movie_id,genre_id
854,9
862,3
862,4
862,5
864,5
872,12
872,14
888,4
888,5
947,2
947,17
954,1
954,2
954,13
978,8
978,17
1024,8
1024,9
1024,16
1103,1
1103,2
1103,15
1103,16
1245,8
1408,1
1408,2
1408,14
1412,8
1572,1
1572,16
1573,1
1573,16
1578,8
1585,8
1587,5
1587,8
1598,16
1624,5
1637,1
1637,14
1637,16
1639,1
1639,14
1639,16
1642,15
1642,16
1645,8
1669,1
1669,16
1701,1
1701,2
1701,16
1710,6
1710,8
1710,16
1770,8
1770,17
1813,6
1813,11
1813,13
1813,16
1891,1
1891,2
1891,8
1891,14
1891,15
1891,17
2074,5
2088,6
2088,16
2118,6
2118,10
2118,13
2118,16
2119,1
2119,14
2142,6
2142,8
2142,13
2157,1
2157,15
2157,16
2163,1
2163,16
2255,8
2255,14
2292,5
2293,5
2300,2
2300,3
2300,4
2300,5
2300,9
2320,1
2320,16
2493,1
2493,2
2493,5
2493,14
2636,1
2639,5
2639,8
2649,13
2649,16
2666,10
2666,15
2666,16
2756,1
2756,2
2756,15
2756,16
2895,8
2898,5
2898,8
2925,5
3034,5
3034,11
3049,5
3078,5
3080,5
3080,12
3080,14
3083,8
3179,3
3179,5
3512,1
3587,4
3587,8
3587,9
3595,8
3595,16
3597,11
3597,13
3597,16
4174,13
4174,14
4174,16
4232,11
4232,16
4233,11
4233,16
4421,1
4421,8
4421,17
4476,8
4476,14
4476,17
4476,18
4477,1
4477,8
4477,16
4477,17
4584,8
4584,14
4824,1
4824,16
4995,8
5503,1
5503,16
5550,15
5550,16
5925,2
5925,17
6071,6
6071,8
6071,16
6116,5
6116,12
6217,11
6520,1
6520,2
6520,8
6520,14
6623,1
6623,16
6623,17
6950,1
6950,8
6950,16
7863,8
7863,14
8009,1
8009,2
8012,1
8012,5
8012,8
8068,1
8068,14
8068,16
8069,2
8069,15
8078,1
8078,11
8078,15
8197,5
8197,6
8197,8
8197,13
8291,8
8367,8
8413,1
8413,13
8413,15
8413,16
8587,3
8587,4
8587,12
8818,8
8818,12
8831,1
8831,15
8834,1
8834,13
8834,14
8834,16
8838,1
8838,8
8838,16
8839,2
8839,4
8840,1
8840,2
8840,9
8850,1
8854,1
8874,5
8874,14
8963,8
8963,16
8963,17
8984,8
8984,16
8987,1
8987,16
9067,1
9067,5
9067,12
9067,15
9087,5
9087,8
9087,14
9089,8
9089,14
9095,8
9095,16
9099,5
9100,8
9100,11
9208,1
9208,16
9268,1
9268,16
9271,15
9271,16
9273,5
9277,5
9277,6
9279,2
9279,4
9279,5
9281,8
9281,14
9281,16
9294,8
9294,14
9303,6
9303,8
9303,14
9303,16
9304,5
9306,15
9306,16
9311,1
9311,8
9311,16
9312,1
9312,2
9313,1
9313,8
9313,14
9327,5
9327,9
9327,14
9327,15
9331,1
9331,2
9331,16
9344,8
9348,15
9350,1
9350,2
9350,6
9360,1
9360,2
9360,16
9361,1
9361,14
9361,17
9366,6
9366,8
9390,8
9390,14
9400,1
9400,6
9414,5
9414,13
9416,1
9416,5
9427,5
9433,2
9433,16
9434,5
9434,6
9437,6
9437,8
9437,16
9440,8
9444,3
9444,4
9444,12
9457,1
9457,11
9457,15
9490,5
9495,1
9495,14
9495,16
9504,8
9516,1
9516,6
9516,8
9549,8
9566,16
9571,5
9574,4
9574,5
9574,9
9587,8
9591,5
9593,1
9593,5
9598,4
9598,5
9598,8
9603,5
9607,1
9607,2
9607,4
9607,15
9614,5
9619,1
9619,16
9623,8
9623,16
9625,1
9625,16
9665,1
9665,8
9665,17
9691,16
9716,5
9716,12
9716,14
9737,1
9746,8
9770,1
9770,8
9772,1
9772,16
9800,8
9802,1
9802,2
9802,16
9804,1
9804,2
9819,8
9821,8
9823,1
9823,2
9826,2
9879,5
9879,6
9894,5
9922,8
10003,1
10003,14
10003,16
10061,1
10061,2
10061,15
10061,16
10153,2
10153,15
10153,16
10163,1
10163,15
10163,16
10215,8
10215,14
10217,8
10218,5
10218,8
10280,11
10280,16
10329,1
10329,2
10329,13
10329,15
10331,11
10331,15
10336,1
10336,2
10336,15
10336,16
10357,8
10357,16
10395,8
10395,11
10428,1
10428,6
10428,16
10436,8
10445,8
10445,14
10478,5
10478,14
10530,3
10530,4
10530,12
10530,14
10533,8
10534,2
10534,8
10535,5
10537,8
10537,12
10545,3
10545,4
10545,12
10586,1
10586,2
10603,4
10603,5
10634,5
10684,8
10684,17
10705,8
10705,17
10731,8
10731,13
10731,16
10765,5
10802,8
10806,5
10858,8
10861,1
10861,2
10861,16
10871,16
10890,5
10895,3
10895,4
10987,11
10987,16
11015,11
11062,8
11062,16
11066,5
11066,14
11113,12
11113,14
11202,8
11202,17
11228,1
11228,2
11228,16
11229,6
11258,1
11258,16
11298,5
11298,11
11302,5
11302,17
11306,8
11306,16
11359,2
11359,4
11359,9
11363,5
11363,14
11382,5
11386,1
11386,8
11386,14
11386,17
11395,4
11395,5
11412,1
11412,16
11517,1
11543,5
11561,5
11561,15
11592,5
11592,6
11592,11
11667,1
11702,1
11702,16
11778,8
11778,17
11780,8
11780,14
11780,17
11827,1
11827,2
11827,3
11827,11
11827,15
11831,8
11858,5
11858,8
11858,17
11863,16
11934,5
11934,14
11967,1
11967,5
11967,18
11969,18
11971,5
11971,14
11975,8
11980,11
12106,1
12106,2
12106,18
12123,1
12123,2
12123,16
12158,5
12158,14
12160,18
12498,8
12498,16
13685,5
13982,5
14275,7
14585,8
15121,12
15765,8
16052,8
16052,12
16388,5
16633,8
16633,14
17127,5
17127,14
17182,8
17182,16
17795,5
17834,4
17834,9
18550,1
18550,2
18975,2
18975,4
20156,8
20737,4
20737,5
21612,8
22479,6
22649,14
22649,17
23570,5
24662,3
24662,4
24662,12
24913,5
24913,11
25066,5
25066,11
25189,5
25189,14
26306,8
26352,1
26352,5
26748,8
26748,13
27322,14
27845,8
28121,5
29461,8
31535,5
31908,8
34152,5
34314,16
34941,8
36355,2
36355,4
36955,1
36955,2
36955,5
36955,14
37165,8
37233,8
37233,16
38223,4
38223,5
40001,5
40001,14
42807,6
42807,8
45153,8
47502,5
47686,8
47889,8
49471,8
49478,1
49478,2
49478,4
49478,9
49963,14
55306,8
61337,5
61752,5
63020,5
63020,14
68924,8
87729,8
